exchange_symbol,ex_date,record_date,pay_date,dividend,currency
AGNC,2011-12-20,2011-12-22,2012-01-27,1.4,USD
AGNC,2014-03-27,2014-03-31,2014-04-28,0.65,USD
AGNC,2014-06-26,2014-06-30,2014-07-28,0.65,USD
AGNC,2014-09-26,2014-09-30,2014-10-27,0.65,USD
AGNC,2014-10-29,2014-10-31,2014-11-07,0.22,USD
AGNC,2014-11-25,2014-11-28,2014-12-05,0.22,USD
AGNC,2014-12-29,2014-12-31,2015-01-09,0.22,USD
AGNC,2015-01-28,2015-01-30,2015-02-06,0.22,USD
AGNC,2013-12-27,2013-12-31,2014-01-28,0.65,USD
AGNC,2015-02-25,2015-02-27,2015-03-06,0.22,USD
AGNC,2015-04-28,2015-04-30,2015-05-08,0.22,USD
AGNC,2015-05-27,2015-05-29,2015-06-05,0.2,USD
AGNC,2015-06-26,2015-06-30,2015-07-08,0.2,USD
AGNC,2015-07-29,2015-07-31,2015-08-07,0.2,USD
AGNC,2015-08-27,2015-08-31,2015-09-08,0.2,USD
AGNC,2015-09-28,2015-09-30,2015-10-09,0.2,USD
AGNC,2015-10-28,2015-10-30,2015-11-09,0.2,USD
AGNC,2015-03-27,2015-03-31,2015-04-10,0.22,USD
AGNC,2013-09-26,2013-09-30,2013-10-28,0.8,USD
AGNC,2013-06-26,2013-06-28,2013-07-26,1.05,USD
AGNC,2013-03-18,2013-03-20,2013-04-26,1.25,USD
AGNC,2008-06-30,2008-07-02,2008-07-29,0.31,USD
AGNC,2008-09-25,2008-09-29,2008-10-10,1.0,USD
AGNC,2008-12-29,2008-12-31,2009-01-26,1.2,USD
AGNC,2009-06-30,2009-07-02,2009-07-27,1.5,USD
AGNC,2009-09-30,2009-10-02,2009-10-27,1.4,USD
AGNC,2009-12-29,2009-12-31,2010-01-26,1.4,USD
AGNC,2010-03-29,2010-03-31,2010-04-28,1.4,USD
AGNC,2010-06-28,2010-06-30,2010-07-28,1.4,USD
AGNC,2010-09-24,2010-09-28,2010-10-27,1.4,USD
AGNC,2010-12-29,2010-12-31,2011-01-27,1.4,USD
AGNC,2011-03-21,2011-03-23,2011-04-27,1.4,USD
AGNC,2011-06-21,2011-06-23,2011-07-27,1.4,USD
AGNC,2011-09-21,2011-09-23,2011-10-27,1.4,USD
AGNC,2012-03-05,2012-03-07,2012-04-27,1.25,USD
AGNC,2012-06-19,2012-06-21,2012-07-27,1.25,USD
AGNC,2012-09-19,2012-09-21,2012-10-26,1.25,USD
AGNC,2012-12-24,2012-12-27,2013-01-28,1.25,USD
AGNC,2015-11-25,2015-11-30,2015-12-09,0.2,USD
AGNC,2015-12-29,2015-12-31,2016-01-08,0.2,USD
AGNC,2009-03-31,2009-04-02,2009-04-27,0.85,USD
AGNC,2016-02-25,2016-02-29,2016-03-08,0.2,USD
AGNC,2017-12-28,2017-12-29,2018-01-09,0.18,USD
AGNC,2018-01-30,2018-01-31,2018-02-08,0.18,USD
AGNC,2018-02-27,2018-02-28,2018-03-08,0.18,USD
AGNC,2018-03-28,2018-03-29,2018-04-09,0.18,USD
AGNC,2018-05-30,2018-05-31,2018-06-08,0.18,USD
AGNC,2018-06-28,2018-06-29,2018-07-09,0.18,USD
AGNC,2018-07-30,2018-07-31,2018-08-08,0.18,USD
AGNC,2017-11-29,2017-11-30,2017-12-08,0.18,USD
AGNC,2018-08-30,2018-08-31,2018-09-11,0.18,USD
AGNC,2016-01-27,2016-01-29,2016-02-08,0.2,USD
AGNC,2019-03-28,2019-03-29,2019-04-09,0.18,USD
AGNC,2019-02-27,2019-02-28,2019-03-11,0.18,USD
AGNC,2019-01-30,2019-01-31,2019-02-11,0.18,USD
AGNC,2018-12-28,2018-12-31,2019-01-09,0.18,USD
AGNC,2018-11-29,2018-11-30,2018-12-10,0.18,USD
AGNC,2018-10-30,2018-10-31,2018-11-09,0.18,USD
AGNC,2018-09-27,2018-09-28,2018-10-09,0.18,USD
AGNC,2017-10-30,2017-10-31,2017-11-09,0.18,USD
AGNC,2018-04-27,2018-04-30,2018-05-09,0.18,USD
AGNC,2017-08-29,2017-08-31,2017-09-08,0.18,USD
AGNC,2016-03-29,2016-03-31,2016-04-08,0.2,USD
AGNC,2016-06-28,2016-06-30,2016-07-08,0.2,USD
AGNC,2016-07-27,2016-07-29,2016-08-08,0.2,USD
AGNC,2016-08-29,2016-08-31,2016-09-09,0.18,USD
AGNC,2016-09-28,2016-09-30,2016-10-07,0.18,USD
AGNC,2017-09-28,2017-09-29,2017-10-10,0.18,USD
AGNC,2016-05-26,2016-05-31,2016-06-09,0.2,USD
AGNC,2016-10-27,2016-10-31,2016-11-08,0.18,USD
AGNC,2016-11-28,2016-11-30,2016-12-08,0.18,USD
AGNC,2016-04-27,2016-04-29,2016-05-09,0.2,USD
AGNC,2017-01-27,2017-01-31,2017-02-08,0.18,USD
AGNC,2017-02-24,2017-02-28,2017-03-08,0.18,USD
AGNC,2017-03-29,2017-03-31,2017-04-07,0.18,USD
AGNC,2017-04-26,2017-04-28,2017-05-08,0.18,USD
AGNC,2017-05-26,2017-05-31,2017-06-08,0.18,USD
AGNC,2017-06-28,2017-06-30,2017-07-07,0.18,USD
AGNC,2017-07-27,2017-07-31,2017-08-07,0.18,USD
AGNC,2016-12-28,2016-12-30,2017-01-09,0.18,USD
GNMA,2014-12-01,2014-12-01,2014-12-05,0.060328999999999994,USD
GNMA,2014-12-24,2014-12-24,2014-12-31,0.205496,USD
GNMA,2015-02-02,2015-02-02,2015-02-06,0.03469,USD
GNMA,2014-10-01,2014-10-01,2014-10-07,0.025072,USD
GNMA,2015-03-02,2015-03-02,2015-03-06,0.059183000000000006,USD
GNMA,2014-11-03,2014-11-03,2014-11-07,0.04862,USD
GNMA,2015-06-01,2015-06-01,2015-06-05,0.075182,USD
GNMA,2015-05-01,2015-05-01,2015-05-07,0.074823,USD
GNMA,2015-07-01,2015-07-01,2015-07-08,0.06814400000000001,USD
GNMA,2015-08-03,2015-08-03,2015-08-07,0.063066,USD
GNMA,2015-09-01,2015-09-01,2015-09-08,0.065523,USD
GNMA,2015-10-01,2015-10-01,2015-10-07,0.059998,USD
GNMA,2014-09-02,2014-09-02,2014-09-08,0.026006,USD
GNMA,2015-04-01,2015-04-01,2015-04-08,0.082134,USD
GNMA,2014-08-01,2014-08-01,2014-08-07,0.034006,USD
GNMA,2013-07-01,2013-07-01,2013-07-08,0.047989,USD
GNMA,2014-06-02,2014-06-02,2014-06-06,0.035173,USD
GNMA,2014-05-01,2014-05-01,2014-05-07,0.039365,USD
GNMA,2014-04-01,2014-04-01,2014-04-07,0.035789,USD
GNMA,2014-03-03,2014-03-03,2014-03-07,0.038725,USD
GNMA,2014-02-03,2014-02-03,2014-02-07,0.030010000000000002,USD
GNMA,2013-12-26,2013-12-26,2014-01-02,0.07720700000000001,USD
GNMA,2013-12-02,2013-12-02,2013-12-06,0.0361,USD
GNMA,2013-11-01,2013-11-01,2013-11-07,0.038551999999999996,USD
GNMA,2013-10-01,2013-10-01,2013-10-07,0.051879999999999996,USD
GNMA,2013-08-01,2013-08-01,2013-08-07,0.028774,USD
GNMA,2015-11-02,2015-11-02,2015-11-06,0.061155999999999995,USD
GNMA,2013-06-03,2013-06-03,,0.053382000000000006,USD
GNMA,2013-05-01,2013-05-01,2013-05-07,0.047145,USD
GNMA,2013-04-01,2013-04-01,2013-04-05,0.048345,USD
GNMA,2014-07-01,2014-07-01,2014-07-08,0.039032,USD
GNMA,2015-12-01,2015-12-01,2015-12-07,0.066025,USD
GNMA,2017-04-03,2017-04-03,2017-04-07,0.07617,USD
GNMA,2016-02-01,2016-02-01,2016-02-05,0.059976,USD
GNMA,2017-12-01,2017-12-01,2017-12-07,0.107333,USD
GNMA,2018-02-01,2018-02-01,2018-02-07,0.096719,USD
GNMA,2018-03-01,2018-03-01,2018-03-07,0.092414,USD
GNMA,2018-04-02,2018-04-02,2018-04-06,0.101651,USD
GNMA,2018-05-01,2018-05-01,2018-05-07,0.10586500000000001,USD
GNMA,2018-06-01,2018-06-01,2018-06-07,0.095996,USD
GNMA,2018-07-02,2018-07-02,2018-07-09,0.094122,USD
GNMA,2017-11-01,2017-11-01,2017-11-07,0.107348,USD
GNMA,2018-08-01,2018-08-01,2018-08-07,0.102076,USD
GNMA,2018-10-01,2018-10-01,2018-10-05,0.120451,USD
GNMA,2018-11-01,2018-11-01,2018-11-07,0.12905899999999998,USD
GNMA,2018-12-03,2018-12-03,2018-12-07,0.12428,USD
GNMA,2019-02-01,2019-02-01,2019-02-07,0.12659600000000001,USD
GNMA,2019-03-01,2019-03-01,2019-03-07,0.121797,USD
GNMA,2019-04-01,2019-04-01,2019-04-05,0.132072,USD
GNMA,2019-05-01,2019-05-01,2019-05-07,0.125023,USD
GNMA,2018-09-04,2018-09-04,2018-09-10,0.11163499999999998,USD
GNMA,2017-10-02,2017-10-02,2017-10-06,0.084674,USD
GNMA,2017-09-01,2017-09-01,2017-09-08,0.089268,USD
GNMA,2017-08-01,2017-08-01,2017-08-07,0.088898,USD
GNMA,2016-03-01,2016-03-01,2016-03-07,0.065725,USD
GNMA,2016-04-01,2016-04-01,2016-04-07,0.071766,USD
GNMA,2016-05-02,2016-05-02,2016-05-06,0.078902,USD
GNMA,2016-06-01,2016-06-01,2016-06-07,0.071099,USD
GNMA,2016-07-01,2016-07-01,2016-07-08,0.068344,USD
GNMA,2016-08-01,2016-08-01,2016-08-05,0.064987,USD
GNMA,2016-09-01,2016-09-01,2016-09-08,0.069356,USD
GNMA,2016-10-03,2016-10-03,2016-10-07,0.06590800000000001,USD
GNMA,2016-11-01,2016-11-01,2016-11-07,0.072464,USD
GNMA,2016-12-01,2016-12-01,2016-12-07,0.068422,USD
