exchange_symbol,instrument_name,instrument_country_id,underlying_name,underlying_asset_class_id,type,settle_start,settle_end,settle_timezone,quote_currency_id,multiplier,tick_size,start_date,end_date,exchange_id,parent_calendar_id,child_calendar_id
VOT,Vanguard Mid-Cap Growth,US,,5.0,ETF,16:00,16:00,exch,USD,1.0,0.01,2006-08-24,2020-03-31,XNYS,XNYS,
XLU,Utilities Select Sector SPDR Fund,US,,5.0,ETF,16:00,16:00,exch,USD,1.0,0.01,2000-01-03,2020-03-31,XNYS,XNYS,
XLI,Industrial Select Sector SPDR Fund,US,,5.0,ETF,16:00,16:00,exch,USD,1.0,0.01,2000-01-03,2020-03-31,XNYS,XNYS,
IEF,iShares 7-10 Year Treasury Bond,US,,1.0,ETF,16:00,16:00,exch,USD,1.0,0.01,2002-08-16,2020-03-31,XNCM,XNCM,
AGNC,AGNC Investment Corp.,US,,6.0,REIT,16:00,16:00,exch,USD,1.0,0.01,2008-05-15,2020-03-31,XNCM,XNCM,
TIP,iShares TIPS Bond ETF,US,,1.0,ETF,16:00,16:00,exch,USD,1.0,0.01,2003-12-05,2020-03-31,XNYS,XNYS,
USO,United States Oil Fund,US,,4.0,ETF,16:00,16:00,exch,USD,1.0,0.01,2006-04-10,2020-03-31,XNYS,XNYS,
GLD,SPDR Gold Trust,US,,5.0,ETF,16:00,16:00,exch,USD,1.0,0.01,2004-11-18,2020-03-31,XNYS,XNYS,
ICSH,iShares Ultra Short-Term Bond,US,,2.0,ETF,16:00,16:00,exch,USD,1.0,0.01,2013-12-13,2020-03-31,BATS,BATS,
VGSH,Vanguard Short-Term Treasury,US,,1.0,ETF,16:00,16:00,exch,USD,1.0,0.01,2009-11-23,2020-03-31,XNCM,XNCM,
NLY,"Annaly Capital Management, Inc.",US,,6.0,REIT,16:00,16:02,exch,USD,1.0,0.01,2000-01-03,2020-03-31,XNYS,XNYS,
GNMA,iShares GNMA Bond ETF,US,,6.0,ETF,16:00,16:02,exch,USD,1.0,0.01,2012-02-21,2020-03-31,XNCM,XNCM,
VMBS,Vanguard Mortgage-Backed Securities ETF,US,,6.0,ETF,16:00,16:02,exch,USD,1.0,0.01,2009-11-23,2020-03-31,XNCM,XNCM,
