root_symbol,contract_day,field,value
ZN,first_trade,offset,MonthEnd(-9)
ZN,first_trade,offset,EDay(-8)
ZN,last_trade,offset,MonthEnd(0)
ZN,last_trade,offset,EDay(-8)
ZN,first_position,offset,MonthBegin(0)
ZN,first_position,offset,EDay(-2)
ZN,last_position,offset,MonthEnd(0)
ZN,last_position,offset,EDay(-2)
ZN,first_notice,offset,MonthBegin(0)
ZN,first_notice,offset,EDay(-1)
ZN,last_notice,offset,MonthEnd(0)
ZN,last_notice,offset,EDay(-1)
ZN,first_delivery,offset,MonthBegin(0)
ZN,first_delivery,offset,EDay(0)
ZN,last_delivery,offset,MonthEnd(0)
ZN,last_delivery,offset,EDay(0)
TN,first_trade,offset,MonthEnd(-9)
TN,first_trade,offset,EDay(-8)
TN,last_trade,offset,MonthEnd(0)
TN,last_trade,offset,EDay(-8)
TN,first_position,offset,MonthBegin(0)
TN,first_position,offset,EDay(-2)
TN,last_position,offset,MonthEnd(0)
TN,last_position,offset,EDay(-2)
TN,first_notice,offset,MonthBegin(0)
TN,first_notice,offset,EDay(-1)
TN,last_notice,offset,MonthEnd(0)
TN,last_notice,offset,EDay(-1)
TN,first_delivery,offset,MonthBegin(0)
TN,first_delivery,offset,EDay(0)
TN,last_delivery,offset,MonthEnd(0)
TN,last_delivery,offset,EDay(0)
ZB,first_trade,offset,MonthEnd(-9)
ZB,first_trade,offset,EDay(-8)
ZB,last_trade,offset,MonthEnd(0)
ZB,last_trade,offset,EDay(-8)
ZB,first_position,offset,MonthBegin(0)
ZB,first_position,offset,EDay(-2)
ZB,last_position,offset,MonthEnd(0)
ZB,last_position,offset,EDay(-2)
ZB,first_notice,offset,MonthBegin(0)
ZB,first_notice,offset,EDay(-1)
ZB,last_notice,offset,MonthEnd(0)
ZB,last_notice,offset,EDay(-1)
ZB,first_delivery,offset,MonthBegin(0)
ZB,first_delivery,offset,EDay(0)
ZB,last_delivery,offset,MonthEnd(0)
ZB,last_delivery,offset,EDay(0)
UB,first_trade,offset,MonthEnd(-9)
UB,first_trade,offset,EDay(-8)
UB,last_trade,offset,MonthEnd(0)
UB,last_trade,offset,EDay(-8)
UB,first_position,offset,MonthBegin(0)
UB,first_position,offset,EDay(-2)
UB,last_position,offset,MonthEnd(0)
UB,last_position,offset,EDay(-2)
UB,first_notice,offset,MonthBegin(0)
UB,first_notice,offset,EDay(-1)
UB,last_notice,offset,MonthEnd(0)
UB,last_notice,offset,EDay(-1)
UB,first_delivery,offset,MonthBegin(0)
UB,first_delivery,offset,EDay(0)
UB,last_delivery,offset,MonthEnd(0)
UB,last_delivery,offset,EDay(0)
ZF,first_trade,offset,MonthEnd(-9)
ZF,first_trade,offset,EDay(0)
ZF,last_trade,offset,MonthEnd(0)
ZF,last_trade,offset,EDay(-1)
ZF,first_position,offset,MonthBegin(0)
ZF,first_position,offset,EDay(-2)
ZF,last_position,offset,MonthEnd(0)
ZF,last_position,offset,EDay(1)
ZF,first_notice,offset,MonthBegin(0)
ZF,first_notice,offset,EDay(-1)
ZF,last_notice,offset,MonthEnd(0)
ZF,last_notice,offset,EDay(2)
ZF,first_delivery,offset,MonthBegin(0)
ZF,first_delivery,offset,EDay(0)
ZF,last_delivery,offset,MonthBegin(1)
ZF,last_delivery,offset,EDay(2)
ZT,first_trade,offset,MonthEnd(-9)
ZT,first_trade,offset,EDay(0)
ZT,last_trade,offset,MonthEnd(0)
ZT,last_trade,offset,EDay(-1)
ZT,first_position,offset,MonthBegin(0)
ZT,first_position,offset,EDay(-2)
ZT,last_position,offset,MonthEnd(0)
ZT,last_position,offset,EDay(1)
ZT,first_notice,offset,MonthBegin(0)
ZT,first_notice,offset,EDay(-1)
ZT,last_notice,offset,MonthEnd(0)
ZT,last_notice,offset,EDay(2)
ZT,first_delivery,offset,MonthBegin(0)
ZT,first_delivery,offset,EDay(0)
ZT,last_delivery,offset,MonthBegin(1)
ZT,last_delivery,offset,EDay(2)
ES,first_trade,offset,MonthBegin(-15)
ES,first_trade,offset,DateOffset(weekday=FR(3))
ES,last_trade,offset,DateOffset(weekday=FR(3))
ES,settlement_date,offset,DateOffset(weekday=FR(3))
YM,first_trade,offset,MonthBegin(-12)
YM,first_trade,offset,DateOffset(weekday=FR(3))
YM,last_trade,offset,DateOffset(weekday=FR(3))
YM,settlement_date,offset,DateOffset(weekday=FR(3))
SP,first_trade,offset,MonthBegin(-60)
SP,first_trade,offset,DateOffset(weekday=FR(3))
SP,last_trade,offset,DateOffset(weekday=FR(3))
SP,settlement_date,offset,DateOffset(weekday=FR(3))
YT,last_trade,day,15
YT,last_trade,observance,previous_exchange_day
YT,settlement_date,day,15
YT,settlement_date,offset,EDay(1)
XT,last_trade,day,15
XT,last_trade,observance,previous_exchange_day
XT,settlement_date,day,15
XT,settlement_date,offset,EDay(1)
CL,last_trade,day,25
CL,last_trade,offset,DateOffset(months=-1)
CL,last_trade,observance,"partial(previous_exchange_day_offset,-3)"
CL,first_postion,day,25
CL,first_postion,offset,DateOffset(months=-1)
CL,first_postion,observance,"partial(previous_exchange_day_offset,-2)"
CL,last_position,day,25
CL,last_position,offset,DateOffset(months=-1)
CL,last_position,observance,"partial(previous_exchange_day_offset,-2)"
CL,first_notice,day,25
CL,first_notice,offset,DateOffset(months=-1)
CL,first_notice,observance,"partial(previous_exchange_day_offset,-1)"
CL,last_notice,day,25
CL,last_notice,offset,DateOffset(months=-1)
CL,last_notice,observance,"partial(previous_exchange_day_offset,-1)"
CL,first_delivery,offset,MonthBegin(0)
CL,last_delivery,offset,MonthEnd(0)
QM,last_trade,day,25
QM,last_trade,offset,DateOffset(months=-1)
QM,last_trade,observance,"partial(previous_exchange_day_offset,-4)"
QM,first_trade,day,25
QM,first_trade,offset,YearBegin(-1)
QM,first_trade,offset,DateOffset(months=-62)
QM,first_trade,observance,"partial(previous_exchange_day_offset,-3)"
FGBL,first_delivery,day,10
FGBL,first_delivery,observance,next_exchange_day
FGBL,last_delivery,day,10
FGBL,last_delivery,observance,next_exchange_day
FGBL,first_trade,day,10
FGBL,first_trade,offset,MonthEnd(-9)
FGBL,first_trade,observance,"partial(next_exchange_day_offset,-2)"
FGBL,last_trade,day,10
FGBL,last_trade,observance,"partial(next_exchange_day_offset,-2)"
FGBL,first_notice,day,10
FGBL,first_notice,observance,"partial(next_exchange_day_offset,-2)"
FGBL,last_notice,day,10
FGBL,last_notice,observance,"partial(next_exchange_day_offset,-2)"
FGBS,first_delivery,day,10
FGBS,first_delivery,observance,next_exchange_day
FGBS,last_delivery,day,10
FGBS,last_delivery,observance,next_exchange_day
FGBS,first_trade,day,10
FGBS,first_trade,offset,MonthEnd(-9)
FGBS,first_trade,observance,"partial(next_exchange_day_offset,-2)"
FGBS,last_trade,day,10
FGBS,last_trade,observance,"partial(next_exchange_day_offset,-2)"
FGBS,first_notice,day,10
FGBS,first_notice,observance,"partial(next_exchange_day_offset,-2)"
FGBS,last_notice,day,10
FGBS,last_notice,observance,"partial(next_exchange_day_offset,-2)"
FGBM,first_delivery,day,10
FGBM,first_delivery,observance,next_exchange_day
FGBM,last_delivery,day,10
FGBM,last_delivery,observance,next_exchange_day
FGBM,first_trade,day,10
FGBM,first_trade,offset,MonthEnd(-9)
FGBM,first_trade,observance,"partial(next_exchange_day_offset,-2)"
FGBM,last_trade,day,10
FGBM,last_trade,observance,"partial(next_exchange_day_offset,-2)"
FGBM,first_notice,day,10
FGBM,first_notice,observance,"partial(next_exchange_day_offset,-2)"
FGBM,last_notice,day,10
FGBM,last_notice,observance,"partial(next_exchange_day_offset,-2)"
FGBX,first_delivery,day,10
FGBX,first_delivery,observance,next_exchange_day
FGBX,last_delivery,day,10
FGBX,last_delivery,observance,next_exchange_day
FGBX,first_trade,day,10
FGBX,first_trade,offset,MonthEnd(-9)
FGBX,first_trade,observance,"partial(next_exchange_day_offset,-2)"
FGBX,last_trade,day,10
FGBX,last_trade,observance,"partial(next_exchange_day_offset,-2)"
FGBX,first_notice,day,10
FGBX,first_notice,observance,"partial(next_exchange_day_offset,-2)"
FGBX,last_notice,day,10
FGBX,last_notice,observance,"partial(next_exchange_day_offset,-2)"
FOAM,first_delivery,day,10
FOAM,first_delivery,observance,next_exchange_day
FOAM,last_delivery,day,10
FOAM,last_delivery,observance,next_exchange_day
FOAM,first_trade,day,10
FOAM,first_trade,offset,MonthEnd(-9)
FOAM,first_trade,observance,"partial(next_exchange_day_offset,-2)"
FOAM,last_trade,day,10
FOAM,last_trade,observance,"partial(next_exchange_day_offset,-2)"
FOAM,first_notice,day,10
FOAM,first_notice,observance,"partial(next_exchange_day_offset,-2)"
FOAM,last_notice,day,10
FOAM,last_notice,observance,"partial(next_exchange_day_offset,-2)"
FOAT,first_delivery,day,10
FOAT,first_delivery,observance,next_exchange_day
FOAT,last_delivery,day,10
FOAT,last_delivery,observance,next_exchange_day
FOAT,first_trade,day,10
FOAT,first_trade,offset,MonthEnd(-9)
FOAT,first_trade,observance,"partial(next_exchange_day_offset,-2)"
FOAT,last_trade,day,10
FOAT,last_trade,observance,"partial(next_exchange_day_offset,-2)"
FOAT,first_notice,day,10
FOAT,first_notice,observance,"partial(next_exchange_day_offset,-2)"
FOAT,last_notice,day,10
FOAT,last_notice,observance,"partial(next_exchange_day_offset,-2)"
FBTS,first_delivery,day,10
FBTS,first_delivery,observance,next_exchange_day
FBTS,last_delivery,day,10
FBTS,last_delivery,observance,next_exchange_day
FBTS,first_trade,day,10
FBTS,first_trade,offset,MonthEnd(-9)
FBTS,first_trade,observance,"partial(next_exchange_day_offset,-2)"
