root_symbol,front_month_offset,delivery_month,front_month_reference_mask,reference_month_offset,periods,frequency,active,active_roll_rule,first_trade
HG,0,F,None,None,23,M,0,---,None
HG,0,G,None,None,23,M,0,---,None
HG,0,H,None,None,60,M,1,FP,None
HG,0,J,None,None,23,M,0,---,None
HG,0,K,None,None,60,M,1,FP,None
HG,0,M,None,None,23,M,0,---,None
HG,0,N,None,None,60,M,1,FP,None
HG,0,Q,None,None,23,M,0,---,None
HG,0,U,None,None,60,M,1,FP,None
HG,0,V,None,None,23,M,0,---,None
HG,0,X,None,None,23,M,0,---,None
HG,0,Z,None,None,60,M,1,---,None
QC,1,F,None,None,23,M,1,LT-B(2),None
QC,1,G,None,None,23,M,1,LT-B(2),None
QC,1,H,None,None,60,M,1,LT-B(2),None
QC,1,J,None,None,23,M,1,LT-B(2),None
QC,1,K,None,None,60,M,1,LT-B(2),None
QC,1,M,None,None,23,M,1,LT-B(2),None
QC,1,N,None,None,60,M,1,LT-B(2),None
QC,1,Q,None,None,23,M,1,LT-B(2),None
QC,1,U,None,None,60,M,1,LT-B(2),None
QC,1,V,None,None,23,M,1,LT-B(2),None
QC,1,X,None,None,23,M,1,LT-B(2),None
QC,1,Z,None,None,60,M,1,LT-B(2),None
GC,0,F,None,None,2,M,0,---,None
GC,0,G,None,None,23,M,1,FP,None
GC,0,H,None,None,2,M,0,---,None
GC,0,J,None,None,23,M,1,FP,None
GC,0,K,None,None,2,M,0,---,None
GC,0,M,None,None,72,M,1,FP,None
GC,0,N,None,None,2,M,0,---,None
GC,0,Q,None,None,23,M,1,FP,None
GC,0,U,None,None,2,M,0,---,None
GC,0,V,None,None,23,M,0,---,None
GC,0,X,None,None,2,M,0,---,None
GC,0,Z,None,None,72,M,1,FP,None
QO,1,G,None,None,24,M,1,LT-B(2),None
QO,1,J,None,None,24,M,1,LT-B(2),None
QO,1,M,None,None,24,M,1,LT-B(2),None
QO,1,Q,None,None,24,M,1,LT-B(2),None
QO,1,V,None,None,24,M,1,LT-B(2),None
QO,1,Z,None,None,24,M,1,LT-B(2),None
SI,0,F,None,None,23,M,0,---,None
SI,0,G,None,None,2,M,0,---,None
SI,0,H,None,None,23,M,1,FP,None
SI,0,J,None,None,2,M,0,---,None
SI,0,K,None,None,23,M,1,FP,None
SI,0,M,None,None,2,M,0,---,None
SI,0,N,None,None,60,M,1,FP,None
SI,0,Q,None,None,2,M,0,---,None
SI,0,U,None,None,23,M,1,FP,None
SI,0,V,None,None,2,M,0,---,None
SI,0,X,None,None,2,M,0,---,None
SI,0,Z,None,None,60,M,1,LT-B(2),None
QI,1,F,None,None,24,M,1,LT-B(2),None
QI,1,H,None,None,24,M,1,LT-B(2),None
QI,1,K,None,None,24,M,1,LT-B(2),None
QI,1,N,None,None,24,M,1,LT-B(2),None
QI,1,U,None,None,24,M,1,LT-B(2),None
QI,1,Z,None,None,24,M,1,LT-B(2),None
NG,1,F,None,YearBegin(-1),156,M,1,LT-B(2),None
NG,1,G,None,YearBegin(-1),156,M,1,LT-B(2),None
NG,1,H,None,YearBegin(-1),156,M,1,LT-B(2),None
NG,1,J,None,YearBegin(-1),156,M,1,LT-B(2),None
NG,1,K,None,YearBegin(-1),156,M,1,LT-B(2),None
NG,1,M,None,YearBegin(-1),156,M,1,LT-B(2),None
NG,1,N,None,YearBegin(-1),156,M,1,LT-B(2),None
NG,1,Q,None,YearBegin(-1),156,M,1,LT-B(2),None
NG,1,U,None,YearBegin(-1),156,M,1,LT-B(2),None
NG,1,V,None,YearBegin(-1),156,M,1,LT-B(2),None
NG,1,X,None,YearBegin(-1),156,M,1,LT-B(2),None
NG,1,Z,None,YearBegin(-1),156,M,1,LT-B(2),None
QG,1,F,None,YearBegin(-1),72,M,1,LT-B(2),None
QG,1,G,None,YearBegin(-1),72,M,1,LT-B(2),None
QG,1,H,None,YearBegin(-1),72,M,1,LT-B(2),None
QG,1,J,None,YearBegin(-1),72,M,1,LT-B(2),None
QG,1,K,None,YearBegin(-1),72,M,1,LT-B(2),None
QG,1,M,None,YearBegin(-1),72,M,1,LT-B(2),None
QG,1,N,None,YearBegin(-1),72,M,1,LT-B(2),None
QG,1,Q,None,YearBegin(-1),72,M,1,LT-B(2),None
QG,1,U,None,YearBegin(-1),72,M,1,LT-B(2),None
QG,1,V,None,YearBegin(-1),72,M,1,LT-B(2),None
QG,1,X,None,YearBegin(-1),72,M,1,LT-B(2),None
QG,1,Z,None,YearBegin(-1),72,M,1,LT-B(2),None
RB,1,F,None,YearBegin(-1),49,M,1,LT-B(2),None
RB,1,G,None,YearBegin(-1),49,M,1,LT-B(2),None
RB,1,H,None,YearBegin(-1),49,M,1,LT-B(2),None
RB,1,J,None,YearBegin(-1),49,M,1,LT-B(2),None
RB,1,K,None,YearBegin(-1),49,M,1,LT-B(2),None
RB,1,M,None,YearBegin(-1),49,M,1,LT-B(2),None
RB,1,N,None,YearBegin(-1),49,M,1,LT-B(2),None
RB,1,Q,None,YearBegin(-1),49,M,1,LT-B(2),None
RB,1,U,None,YearBegin(-1),49,M,1,LT-B(2),None
RB,1,V,None,YearBegin(-1),49,M,1,LT-B(2),None
RB,1,X,None,YearBegin(-1),49,M,1,LT-B(2),None
RB,1,Z,None,YearBegin(-1),49,M,1,LT-B(2),None
QG,1,F,None,YearBegin(-1),49,M,1,LT-B(2),None
QG,1,G,None,YearBegin(-1),49,M,1,LT-B(2),None
QG,1,H,None,YearBegin(-1),49,M,1,LT-B(2),None
QG,1,J,None,YearBegin(-1),49,M,1,LT-B(2),None
QG,1,K,None,YearBegin(-1),49,M,1,LT-B(2),None
QG,1,M,None,YearBegin(-1),49,M,1,LT-B(2),None
QG,1,N,None,YearBegin(-1),49,M,1,LT-B(2),None
QG,1,Q,None,YearBegin(-1),49,M,1,LT-B(2),None
QG,1,U,None,YearBegin(-1),49,M,1,LT-B(2),None
QG,1,V,None,YearBegin(-1),49,M,1,LT-B(2),None
QG,1,X,None,YearBegin(-1),49,M,1,LT-B(2),None
QG,1,Z,None,YearBegin(-1),49,M,1,LT-B(2),None
BZZ,2,F,None,YearBegin(-1),99,M,1,None,None
BZZ,2,G,None,YearBegin(-1),99,M,1,None,None
BZZ,2,H,None,YearBegin(-1),99,M,1,None,None
BZZ,2,J,None,YearBegin(-1),99,M,1,None,None
BZZ,2,K,None,YearBegin(-1),99,M,1,None,None
BZZ,2,M,None,YearBegin(-1),99,M,1,None,None
BZZ,2,N,None,YearBegin(-1),99,M,1,None,None
BZZ,2,Q,None,YearBegin(-1),99,M,1,None,None
BZZ,2,U,None,YearBegin(-1),99,M,1,None,None
BZZ,2,V,None,YearBegin(-1),99,M,1,None,None
BZZ,2,X,None,YearBegin(-1),99,M,1,None,None
BZZ,2,Z,None,YearBegin(-1),99,M,1,None,None
CL,1,F,None,YearBegin(-1),110,M,1,None,None
CL,1,G,None,YearBegin(-1),110,M,1,None,None
CL,1,H,None,YearBegin(-1),110,M,1,None,None
CL,1,J,None,YearBegin(-1),110,M,1,None,None
CL,1,K,None,YearBegin(-1),110,M,1,None,None
CL,1,M,None,YearBegin(-1),110,M,1,None,None
CL,1,N,None,YearBegin(-1),110,M,1,None,None
CL,1,Q,None,YearBegin(-1),110,M,1,None,None
CL,1,U,None,YearBegin(-1),110,M,1,None,None
CL,1,V,None,YearBegin(-1),110,M,1,None,None
CL,1,X,None,YearBegin(-1),110,M,1,None,None
CL,1,Z,None,YearBegin(-1),110,M,1,None,None
QM,1,F,None,YearBegin(-1),60,M,1,None,None
QM,1,G,None,YearBegin(-1),60,M,1,None,None
QM,1,H,None,YearBegin(-1),60,M,1,None,None
QM,1,J,None,YearBegin(-1),60,M,1,None,None
QM,1,K,None,YearBegin(-1),60,M,1,None,None
QM,1,M,None,YearBegin(-1),60,M,1,None,None
QM,1,N,None,YearBegin(-1),60,M,1,None,None
QM,1,Q,None,YearBegin(-1),60,M,1,None,None
QM,1,U,None,YearBegin(-1),60,M,1,None,None
QM,1,V,None,YearBegin(-1),60,M,1,None,None
QM,1,X,None,YearBegin(-1),60,M,1,None,None
QM,1,Z,None,YearBegin(-1),60,M,1,None,None
JGBM,0,H,None,None,3,Q,1,None,LT+B(1)
JGBM,0,M,None,None,3,Q,1,None,LT+B(1)
JGBM,0,U,None,None,3,Q,1,None,LT+B(1)
JGBM,0,Z,None,None,3,Q,1,None,LT+B(1)
JGBL,0,H,None,None,3,Q,1,None,LT+B(1)
JGBL,0,M,None,None,3,Q,1,None,LT+B(1)
JGBL,0,U,None,None,3,Q,1,None,LT+B(1)
JGBL,0,Z,None,None,3,Q,1,None,LT+B(1)
JGBSL,0,H,None,None,3,Q,1,None,LT+B(1)
JGBSL,0,M,None,None,3,Q,1,None,LT+B(1)
JGBSL,0,U,None,None,3,Q,1,None,LT+B(1)
JGBSL,0,Z,None,None,3,Q,1,None,LT+B(1)
